,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
109,اس اس دی اکسترنال ای دیتا مدل SD620 ظرفیت 1 ترابایت-آبی,هارد‌ اکسترنال,ای دیتا,آبی,4300000.0,0,6
110,اس اس دی اکسترنال ای دیتا مدل SD620 ظرفیت 1 ترابایت-قرمز,هارد‌ اکسترنال,ای دیتا,قرمز,4300000.0,0,7
111,اس اس دی اکسترنال ای دیتا مدل SD620 ظرفیت 1 ترابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,3880000.0,0,6
112,اس اس دی اکسترنال ای دیتا مدل SE770G ظرفیت 512 گیگابایت-مشکی,هارد‌ اکسترنال,ای دیتا,مشکی,2549000.0,0,0
113,اس اس دی اکسترنال سامسونگ مدل T7 Touch ظرفیت 500 گیگابایت-مشکی,هارد‌ اکسترنال,سامسونگ,مشکی,3700000.0,0,0
114,اس اس دی ای دیتا مدل SU650 ظرفیت 120 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,999000.0,25,61
115,اس اس دی ای دیتا مدل SU650 ظرفیت 240 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,1750000.0,27,10
116,اس اس دی ای دیتا مدل SU650 ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,1840000.0,28,24
117,اس اس دی ای دیتا مدل SU650 ظرفیت 480 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,2100000.0,0,8
118,اس اس دی ای دیتا مدل SU650 ظرفیت 512 گیگابایت-آبی,هارد اینترنال,ای دیتا,آبی,0.0,0,13
119,اس اس دی اینترنال  اپیسر مدل AS2280 ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1418000.0,1,10
120,اس اس دی اینترنال  اپیسر مدل AS2280P4 ظرفیت 512 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1925000.0,2,3
121,اس اس دی اینترنال اپیسر مدل AS340 PANTHER ظرفیت 240 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1350000.0,3,10
122,اس اس دی اینترنال اپیسر مدل AS340X ظرفیت 120 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,824000.0,7,4
123,اس اس دی اینترنال اپیسر مدل AS340X ظرفیت 240 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1319000.0,10,0
